user_id,item_id,rating,timestamp,datetime,title,release_date,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,1,5,874965758,1997-09-22 22:02:38,Toy Story (1995),1995-01-01,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,876893171,1997-10-15 05:26:11,GoldenEye (1995),1995-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,4,878542960,1997-11-03 07:42:40,Four Rooms (1995),1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,3,876893119,1997-10-15 05:25:19,Get Shorty (1995),1995-01-01,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,5,3,889751712,1998-03-13 01:15:12,Copycat (1995),1995-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,6,5,887431973,1998-02-14 04:52:53,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,7,4,875071561,1997-09-24 03:26:01,Twelve Monkeys (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,8,1,875072484,1997-09-24 03:41:24,Babe (1995),1995-01-01,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,9,5,878543541,1997-11-03 07:52:21,Dead Man Walking (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,10,3,875693118,1997-10-01 08:05:18,Richard III (1995),1996-01-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,11,2,875072262,1997-09-24 03:37:42,Seven (Se7en) (1995),1995-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,12,5,878542960,1997-11-03 07:42:40,"Usual Suspects, The (1995)",1995-08-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,13,5,875071805,1997-09-24 03:30:05,Mighty Aphrodite (1995),1995-10-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,5,874965706,1997-09-22 22:01:46,"Postino, Il (1994)",1994-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,15,5,875071608,1997-09-24 03:26:48,Mr. Holland's Opus (1995),1996-01-29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,16,5,878543541,1997-11-03 07:52:21,French Twist (Gazon maudit) (1995),1995-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,17,3,875073198,1997-09-24 03:53:18,From Dusk Till Dawn (1996),1996-02-05,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
1,18,4,887432020,1998-02-14 04:53:40,"White Balloon, The (1995)",1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,19,5,875071515,1997-09-24 03:25:15,Antonia's Line (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,20,4,887431883,1998-02-14 04:51:23,Angels and Insects (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,21,1,878542772,1997-11-03 07:39:32,Muppet Treasure Island (1996),1996-02-16,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1,22,4,875072404,1997-09-24 03:40:04,Braveheart (1995),1996-02-16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,23,4,875072895,1997-09-24 03:48:15,Taxi Driver (1976),1996-02-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,24,3,875071713,1997-09-24 03:28:33,Rumble in the Bronx (1995),1996-02-23,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,25,4,875071805,1997-09-24 03:30:05,"Birdcage, The (1996)",1996-03-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,3,875072442,1997-09-24 03:40:42,"Brothers McMullen, The (1995)",1995-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,2,876892946,1997-10-15 05:22:26,Bad Boys (1995),1995-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,4,875072173,1997-09-24 03:36:13,Apollo 13 (1995),1995-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,29,1,878542869,1997-11-03 07:41:09,Batman Forever (1995),1995-01-01,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,30,3,878542515,1997-11-03 07:35:15,Belle de jour (1967),1967-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,31,3,875072144,1997-09-24 03:35:44,Crimson Tide (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,32,5,888732909,1998-03-01 06:15:09,Crumb (1994),1994-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,33,4,878542699,1997-11-03 07:38:19,Desperado (1995),1995-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,34,2,878542869,1997-11-03 07:41:09,"Doom Generation, The (1995)",1995-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,35,1,878542420,1997-11-03 07:33:40,Free Willy 2: The Adventure Home (1995),1995-01-01,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,36,2,875073180,1997-09-24 03:53:00,Mad Love (1995),1995-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,37,2,878543030,1997-11-03 07:43:50,Nadja (1994),1994-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,38,3,878543075,1997-11-03 07:44:35,"Net, The (1995)",1995-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,39,4,875072173,1997-09-24 03:36:13,Strange Days (1995),1995-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,40,3,876893230,1997-10-15 05:27:10,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,2,876892818,1997-10-15 05:20:18,Billy Madison (1995),1995-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,5,876892425,1997-10-15 05:13:45,Clerks (1994),1994-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,4,878542869,1997-11-03 07:41:09,Disclosure (1994),1994-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,44,5,878543541,1997-11-03 07:52:21,Dolores Claiborne (1994),1994-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,45,5,875241687,1997-09-26 02:41:27,Eat Drink Man Woman (1994),1994-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,46,4,876893230,1997-10-15 05:27:10,Exotica (1994),1994-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,47,4,875072125,1997-09-24 03:35:25,Ed Wood (1994),1994-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,48,5,875072520,1997-09-24 03:42:00,Hoop Dreams (1994),1994-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
